Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Аптека Со склада,,Аптеки,"улица Асыл Арман, 12",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.8,19,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.230584,76.751865,https://2gis.com/firm/70000001065580695,branch
Айнур мед,аптека,Аптеки; Процедурный кабинет,"улица Жунисова, 2/13 к15",,050035,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,,,87770747165,,,,,,,,,,,,,,,,43.22805,76.779908,https://2gis.com/firm/70000001088985719,branch
Медицина,аптека,Аптеки,"проспект Абая, 89",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:30-13:00,+05:00,1.6,22,87272924984,,,,,,,,,,,,,,,,43.241294,76.925228,https://2gis.com/firm/9429940000965996,branch
Садыхан,сеть социальных аптек,Аптеки,"улица Асыл Арман, 9",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.9,21,87273410557,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.22916,76.751859,https://2gis.com/firm/70000001067857081,branch
Pharmacom,аптека,Аптеки; БАДы; Средства гигиены; Детское питание; Товары для новорождённых,"Самал-3 микрорайон, 1",,050059,Самал-3 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.4,15,87273398187,,,,,http://pharma.com.kz,,https://instagram.com/pharmacomkz,,,,,,,,,43.227641,76.959381,https://2gis.com/firm/70000001067473563,branch
Family Pharm Almaty,аптека,Аптеки; Процедурный кабинет,"проспект Райымбека, 590/2 к2",,,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,1.9,27,87767398244,,,,,,,,,,,,,,,,43.230692,76.780213,https://2gis.com/firm/70000001061810569,branch
Аптека Со склада,,Аптеки,"улица Жунисова, 10 к1",,050035,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (летний период: пн-вс 8:00-22:00),+05:00,1.9,27,87273394223,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.222337,76.788481,https://2gis.com/firm/70000001056689675,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"улица Молдабекова, 11/1",,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.6,6,87273392634,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.221659,76.804164,https://2gis.com/firm/70000001075689775,branch
Аптека,,Аптеки,"улица Навои, 310",1 этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-18:00; Вт: 08:00-13:00, 14:00-18:00; Ср: 08:00-13:00, 14:00-18:00; Чт: 08:00-13:00, 14:00-18:00; Пт: 08:00-13:00, 14:00-18:00; Сб: 08:00-13:00",+05:00,,,87273561177,,,,,,,,,,,,,,,,43.199686,76.887099,https://2gis.com/firm/70000001088112822,branch
Шипа,аптека,Аптеки,"улица Мырзагулулы Бекет-Ата, 44/1",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 11:00-22:00,+05:00,1.3,13,87018726941,87272391712,,,,,,,,,https://wa.me/77018726941,,,,,,43.200476,76.852037,https://2gis.com/firm/70000001020082191,branch
Ar-ai med group,аптека,Аптеки,"улица Сарыарка, 1/2 к3",,050019,Кайрат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,3.4,8,87786695450,87756667514,,,,,,,,,https://wa.me/77786695450,https://wa.me/77756667514,,,,,43.296303,76.977506,https://2gis.com/firm/70000001066262431,branch
Доктор хелп,аптека,Аптеки,"улица Яссауи, 68",1 этаж,050063,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.3,24,87085672651,,,,,,,,,,https://wa.me/77085672651,,,,,,43.22412,76.828759,https://2gis.com/firm/70000001054826625,branch
Аптека Со склада,,Аптеки,"улица Рихарда Зорге, 10",1 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (летний период: пн-вс 8:00-22:00),+05:00,2.8,35,87273394217,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.338833,76.950968,https://2gis.com/firm/70000001051829511,branch
Даулет фарм,аптека,Аптеки; Процедурный кабинет,"микрорайон Жетысу-2, 42",,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (процедурный кабинет:  09:00-20:00),+05:00,2.3,39,87474873262,87272265617,87015858138 (процедурный кабинет),,,,,,,,https://wa.me/77474873262,https://wa.me/77015858138,,,,,43.223374,76.84664,https://2gis.com/firm/70000001049697461,branch
Аптека,,Аптеки,"улица Иштвана Коныра, 97",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.6,5,87273834923,87768197257,,,,,,,,,https://wa.me/77768197257,,,,,,43.274311,76.993152,https://2gis.com/firm/70000001044598109,branch
От А до Я,аптека,Аптеки; Оптика; Контактные линзы; Солнцезащитные очки,"улица Исагулова, 166",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (оптика: пн-вс 10:00-19:00),+05:00,3.7,50,87475455728,,,,,http://apteka-ot-a-do-ya.satu.kz,,https://instagram.com/darihana_a_ya_,,,,,,,,,43.229432,76.764107,https://2gis.com/firm/70000001041790757,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"улица Хмельницкого, 24",1 этаж,050054,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.9,67,87273393477,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.322169,76.965433,https://2gis.com/firm/70000001054238292,branch
Алмасат,аптека,Аптеки,"улица Демьяна Бедного, 5/2а",,050056,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.8,10,87273397402,,,,,,,,,,,,,,,,43.294711,76.953028,https://2gis.com/firm/70000001074371566,branch
АлиС Фарм,социальная аптека,Аптеки,"проспект Назарбаева, 36",2 корпус,050016,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (процедурный кабинет: пн-вс 8:00-23:00, перерыв 13:00-16:00)",+05:00,3.5,29,87089705342,,,,,,,,,,https://wa.me/77089705342,,,,,,43.269201,76.945261,https://2gis.com/firm/70000001067047821,branch
Тау,аптека,Аптеки; Процедурный кабинет,"улица Бокейханова, 510Б блок А",,050015,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.3,9,87473330773,,,,,,,,,,,,,,,,43.297953,76.8965,https://2gis.com/firm/70000001079034357,branch
Биосфера,аптека,Аптеки; Средства гигиены; Детское питание,"улица Шамиевой, 11",1 этаж,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.3,22,87273844987,,,,,http://biosfera.kz,,,,,,,,,,,43.283269,76.927569,https://2gis.com/firm/9429940001050873,branch
Europharma,аптека №34,Аптеки,"улица Жумабаева, 98а",,050014,Айнабулак 3 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,2.7,32,87016042993,,,,,http://jivo.chat/K4Ifx7vYhI,,https://instagram.com/europharma,,,https://wa.me/77016042993,,,,https://t.me/europharma_chatbot,https://youtube.com/channel/UCT6RrHiByBYg88-U7F-HOuQ,43.320259,76.917079,https://2gis.com/firm/70000001038009008,branch
Аптека,,Аптеки,"улица Жандосова, 310в",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.4,5,87022808461,,,,,,,,,,https://wa.me/77022808461,,,,,,43.200254,76.845332,https://2gis.com/firm/70000001033700842,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"улица Акан Серы, 20/5",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.9,19,87273392632,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.330534,76.952031,https://2gis.com/firm/70000001072181230,branch
Аптека,,Аптеки; Детское питание; Товары для новорождённых,"улица Аксай, 1",1 этаж; вход через магазин,050047,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,1.9,2,87753967199,,,,,,,,,,https://wa.me/77753967199,,,,,,43.313134,76.842223,https://2gis.com/firm/70000001068621537,branch
Аптека,ИП Сейтханов,Аптеки,"улица Жанкожа батыра, 116а",,050065,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.3,3,87753676747,,,,,,,,,,https://wa.me/77753676747,,,,,,43.303951,76.853944,https://2gis.com/firm/70000001058717692,branch
Аптека,,Аптеки,"Махамбет Отемисулы улица, 107",1 этаж,050065,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,1,87755234670,,,,,,,,,,https://wa.me/77755234670,,,,,,43.296472,76.862333,https://2gis.com/firm/70000001033085670,branch
Аптека,,Аптеки,"проспект Райымбека, 219а",1 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,1.9,13,87071877708,,,,,,,,,,https://wa.me/77071877708,,,,,,43.269094,76.922048,https://2gis.com/firm/70000001028997277,branch
Аптека,,Аптеки,"проспект Райымбека, 267/1",1 этаж,050034,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,3.0,4,,,,,,,,,,,,,,,,,43.260432,76.888938,https://2gis.com/firm/70000001058986455,branch
Аптека Со склада,,Аптеки,"улица Ибрагимова, 14",,,Алатау м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,2.4,7,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.358659,77.13777,https://2gis.com/firm/70000001068748933,branch
Аптека,ИП Касимова А.К.,Аптеки,"улица Пушкина, 1/1",,050016,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,2.2,8,87272739456,,,,,,,,,,,,,,,,43.270172,76.951468,https://2gis.com/firm/9429940001379693,branch
Жан Дауа,​аптека,Аптеки,"улица Алтын Орда, 6/7 блок 7",,,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,41,87051961767,,,,,,,,,,https://wa.me/77051961767,,,,,,43.217705,76.773206,https://2gis.com/firm/70000001080701838,branch
Аптека Со склада,,Аптеки,"улица Розыбакиева, 190",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.6,23,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.228618,76.891334,https://2gis.com/firm/70000001062094469,branch
Аптека Со склада,,Аптеки,"проспект Гагарина, 274/1",,050060,Алмагуль м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (летний период: пн-вс 8:00-22:00),+05:00,2.5,36,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.207812,76.899367,https://2gis.com/firm/70000001056323266,branch
Kazyna Pharma Plus,аптека,Аптеки,"микрорайон Аксай 2, 52Б",,050031,Аксай-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.6,68,87078386060,,,,,,,https://instagram.com/kazyna_pharmaplus,,,https://wa.me/77078386060,,,,,,43.238988,76.839307,https://2gis.com/firm/70000001030154318,branch
Аптека,,Аптеки,"проспект Абылай хана, 1",1 этаж; слева от входа,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.0,6,87018687496,,,,,,,,,,https://wa.me/77018687496,,,,,,43.27369,76.939063,https://2gis.com/firm/70000001057488723,branch
Rozzpharm,аптека,Аптеки,"улица Мамбетова, 213",,050047,Коккайнар м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.8,14,87273986473,,,,,,,https://instagram.com/rozzpharm_,,,https://wa.me/77073922314,,,,,,43.298417,76.842879,https://2gis.com/firm/70000001031135543,branch
Садыхан,сеть социальных аптек,Аптеки,"улица Есим хана, 42г",1 этаж,050017,Кемел м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.7,34,87272602057,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.368354,76.939138,https://2gis.com/firm/70000001038294864,branch
Жусан Фарм,аптека,Аптеки,"микрорайон Кайрат, 476/28",,050054,Кайрат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,,,87753888707,,,,,,,,,,https://wa.me/77753888707,,,,,,43.320389,76.986952,https://2gis.com/firm/70000001089457219,branch
Nurpharma,аптека,Аптеки,"улица Бекмаханова, 53а",,050028,Нижняя пятилетка м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.8,10,87029103535,,,,,,,,,,,,,,,,43.350995,76.960397,https://2gis.com/firm/70000001075680135,branch
Аптека,,Аптеки,"улица Момышулы, 45а",1 этаж,041609,,,,Талгарский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.6,33,87717906335,,,,,,,,,,https://wa.me/77717906335,,,,,,43.298762,77.040149,https://2gis.com/firm/70000001054834559,branch
Tabysmed,аптека,Аптеки; Процедурный кабинет,"улица Култегин, 29/1",,050065,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.2,27,87027841499,87002611227,,,,,,,,,https://wa.me/77027841499,https://wa.me/77002611227,,,,,43.284144,76.852157,https://2gis.com/firm/70000001067109680,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"улица Бостанова, 29",1 этаж,040707,,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,2.8,15,87273876465,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.350857,76.862086,https://2gis.com/firm/9429940001250813,branch
Аптека,,Аптеки,"улица Панфилова, 52",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,2.8,42,,,,,,,,,,,,,,,,,43.265466,76.943849,https://2gis.com/firm/9429940000792775,branch
Em bolsyn!,аптека,Аптеки,"улица Алты-Алаш, 2а",,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.9,20,87057296035,,,,,,,,,,,,,,,,43.232172,76.802301,https://2gis.com/firm/70000001079833524,branch
Аптека,,Аптеки,"микрорайон Жулдыз-2, 35",1 этаж,050049,Жулдыз-2 м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,2.9,42,87015455518,,,,,,,,,,https://wa.me/77015455518,,,,,,43.359493,76.990707,https://2gis.com/firm/9429940001383444,branch
Витамин,аптека,Аптеки; Процедурный кабинет,"улица Орталык, 28",,050071,Теректи м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:30; Вт: 09:00-22:30; Ср: 09:00-22:30; Чт: 09:00-22:30; Пт: 09:00-22:30; Сб: 09:00-22:30; Вс: 09:00-22:30,+05:00,4.7,9,87079121063,,,,,,,,,,https://wa.me/77079121063,,,,,,43.244733,76.790782,https://2gis.com/firm/70000001058937335,branch
AS Pharm,аптека,Аптеки; Процедурный кабинет; Детское питание; Доставка лекарств,"микрорайон Аксай-3Б, 16",,050031,Аксай-3Б м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,3.8,31,87029878877,,,,,,,,,,https://wa.me/77473557600,,,,,,43.235419,76.824382,https://2gis.com/firm/70000001048392765,branch
Аптека,ИП Лира,Аптеки,"улица Биянху, 278",,050058,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,1.7,7,87272450431,,,,,,,,,,,,,,,,43.271003,76.880931,https://2gis.com/firm/70000001023402053,branch
Аптека,,Аптеки,"улица Ушконыр, 78/7",1 этаж,040923,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,1.0,4,87074105227,87478748156,,,,,,,,,https://wa.me/77074105227,,,,,,43.20628,76.745103,https://2gis.com/firm/70000001030804314,branch
Садыхан,сеть социальных аптек,Аптеки,"проспект Сейфуллина, 168Б",,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.5,64,87272945633,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.308401,76.939863,https://2gis.com/firm/70000001044311721,branch
Аптека,,Аптеки,"улица Кенесары хана, 90/1",,050070,Каргалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,1.0,8,,,,,,,,,,,,,,,,,43.176082,76.866022,https://2gis.com/firm/70000001089217189,branch
Аптека,,Аптеки,"Егемендик улица, 8193",1 этаж,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,,,,,,,,,,,,,,,,,,,43.251514,76.752709,https://2gis.com/firm/70000001047567688,branch
RB farm,аптека,Аптеки,"улица Кошкарбаева, 44/1",1 этаж,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.4,62,87077779439 (касса),87273573792 (процедурный кабинет ),87077779413 (администрация: пн-вс 12:00-22:00),,,,,https://instagram.com/rb_farmacevtika,,,https://wa.me/77077779413,https://wa.me/77077779439,,,,,43.329186,76.89856,https://2gis.com/firm/70000001025720419,branch
От А до Я,аптека,Аптеки,"улица Кожабекова, 9",,040921,,,,Карасайский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.6,44,87475964510,,,,,http://apteka-ot-a-do-ya.satu.kz,,https://instagram.com/darihana_a_ya_,,,,,,,,,43.257291,76.771828,https://2gis.com/firm/70000001042159778,branch
