Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Champ1on,спортивный комплекс,Фитнес-клубы; Спортивные секции; Бассейны; Тренажёрные залы,"улица Кожабекова, 6",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.8,162,87084810017,87273550134,,,http://champ1on.kz,,https://instagram.com/champ1on_almaty,,,,https://wa.me/77752029050,,,,,,,43.19968,76.897938,https://2gis.com/firm/70000001064791396,branch
S89 Athletic Pro Club,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Суюнбая, 89Б","1, 3 этаж",050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-22:00; Вс: 09:00-21:00,+05:00,4.5,390,87003550290,,,,http://s89fitness.kz/s89,,https://instagram.com/s89official,,https://facebook.com/s89official,,https://wa.me/77056505852,,,,,,,43.282718,76.948369,https://2gis.com/firm/70000001035446313,branch
Blackstretch,женская фитнес-студия,Фитнес-клубы; Центры йоги; Спортивные секции; Обучение танцам,"улица Тимирязева, 42 к10а",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 07:30-16:00, 17:00-21:00; Вт: 07:30-14:00, 15:00-21:00; Ср: 07:30-16:00, 17:00-21:00; Чт: 07:30-14:00, 15:00-21:00; Пт: 07:30-16:00, 17:00-21:00; Сб: 09:00-15:00",+05:00,4.7,240,87771445084,,,,http://clck.ru/36ctu3,http://clck.ru/36ctqv,https://instagram.com/blackstretch_official,,,,https://wa.me/77771445084,,,,,,,43.225166,76.90504,https://2gis.com/firm/70000001039020821,branch
Golden Eagle Fitness,фитнес-клуб,Фитнес-клубы; Спортивные секции; Спортивное оборудование,"улица Желтоксан, 62/1",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Пт: 07:00-20:00; Сб: 10:00-15:00,+05:00,5.0,183,87079007703,,,,http://goldeneagle.2gis.biz/,,https://instagram.com/golden_eagle_almaty,,https://facebook.com/goldeneaglealmaty,,https://wa.me/77079007703,,,viber://chat/?number=77079007703,https://t.me/+77079007703,,,43.264876,76.939126,https://2gis.com/firm/70000001017617193,branch
Абылай Хан,спортивный клуб,Фитнес-клубы; Спортивные секции; Аренда спортивных площадок; Бассейны; Аквааэробика,"проспект Сейфуллина, 14/2",1 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 08:00-22:00,+05:00,3.6,236,87076000717,,,,http://tiktok.com/@sport_club_abylaikhan,,https://instagram.com/sport_club_abylaikhan,,https://facebook.com/profile.php?id=100088393826549,https://vk.com/yuvabasket,,,,,,,,43.333914,76.946419,https://2gis.com/firm/9429940001194577,branch
Shake it up Almaty,сайклинг-студия,Фитнес-клубы,"улица Карасай батыра, 152/1",2 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.9,10,87018000580,,,,,,https://instagram.com/shakeitupalmaty,,,,https://wa.me/77018000580,,,,,,,43.24818,76.906185,https://2gis.com/firm/70000001084420019,branch
Fitnation,спортивный клуб,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Центры йоги,"улица Розыбакиева, 259",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,421,,,,,http://fitnation.kz/ru/,,https://instagram.com/fitnation.kz,,https://facebook.com/fitnationkz,https://vk.com/fitnation_kaz,https://wa.me/77770153914,,,,,,,43.201563,76.894032,https://2gis.com/firm/9429940001037724,branch
Gym Point,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"улица Кабдолова, 16",цокольный этаж,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,330,87472885114,,,,,,https://instagram.com/gym.point.almaty,,https://facebook.com/almaty.gympoint,,https://wa.me/77472885114,,,,,,,43.236066,76.850926,https://2gis.com/firm/70000001034549347,branch
Akzhar dance,танцевальная-фитнес студия,Фитнес-клубы; Обучение танцам,,цокольный этаж,,Акжар м-н,,Алматы,,Алматы,Казахстан,"Пн: 17:00-20:00; Вт: 17:00-18:00; Ср: 17:00-20:00; Чт: 17:00-18:00; Пт: 17:00-20:00; Сб: 10:00-13:00; Вс: 10:00-13:00 (по предварительной записи: пн, ср, пт-вс)",+05:00,5.0,2,87471610676,,,,,,https://instagram.com/akzhar_dancestudio_,,,,https://wa.me/77471610676,,,,,,,,,https://2gis.com/firm/70000001033834000,branch
Gepard Sport Club,спортивный клуб,Фитнес-клубы; Спортивные секции; Тренажёрные залы,"улица Утеген батыра, 11а",3 этаж,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00,+05:00,3.6,54,87272766222,87774883168,,,,,https://instagram.com/gepard_sportclub,,,,https://wa.me/77774883168,,,,,,,43.244085,76.85541,https://2gis.com/firm/70000001024335185,branch
UFC Gym,,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Назарбаева, 223",2 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,,+05:00,,,87770055757,,,,http://www.ufcgym.kz/,,https://instagram.com/ufcgymkz,,,,https://wa.me/77770055757,,,,,,,43.232613,76.949223,https://2gis.com/firm/70000001087487472,branch
Stretching Almaty,,Фитнес-клубы,"улица Панфилова, 92",2 зал; 2 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:30; Вт: 12:30-21:30; Ср: 07:00-21:30; Чт: 12:30-21:30; Пт: 07:00-21:30; Сб: 11:00-16:00,+05:00,4.7,77,87071301175,,,,,,https://instagram.com/stretching_almaty,,https://facebook.com/stretchingkz,,https://wa.me/77071301175,,,,,,,43.2588,76.944684,https://2gis.com/firm/70000001024694344,branch
AF Sport,женский фитнес-клуб,Фитнес-клубы; Студии загара; Обучение танцам,"улица Кунаева, 49",цокольный этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-15:00,+05:00,4.6,31,87272736301,87714955500,,,,,https://instagram.com/affitnessclub,,,,https://wa.me/77714955500,https://wa.me/77715725540,,,,,,43.261479,76.948997,https://2gis.com/firm/9429940000784970,branch
Just Stretch,женская фитнес-студия,Фитнес-клубы,"улица Макатаева, 127/3",2 этаж; вход со двора,,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 08:30-14:00, 17:00-20:00; Вт: 08:30-14:00, 17:00-20:00; Ср: 08:30-14:00, 17:00-20:00; Чт: 08:30-14:00, 17:00-20:00; Пт: 08:30-14:00, 17:00-20:00",+05:00,4.9,60,87089730610,,,,,,https://instagram.com/just_stretch_official,,,,https://wa.me/77089730610,,,,https://t.me/+77089730610,,,43.262936,76.924047,https://2gis.com/firm/70000001083954076,branch
Leader Sport,спортивно-оздоровительный клуб,Фитнес-клубы; Тренажёрные залы; Бассейны; Массажист; Студии загара,"улица Бузурбаева, 33а",цокольный этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00,+05:00,1.3,89,87273808888,87273998484,87003330401,,http://leadersport.kz,,,,,,https://wa.me/77003330401,,,,,,,43.260326,76.964458,https://2gis.com/firm/9429940000900359,branch
Balance,студия стретчинга и йоги,Фитнес-клубы; Центры йоги; Обучение танцам; Спортивные секции,"улица Ауэзова, 5",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 10:00-20:00,+05:00,,,87088088188 (единый номер: пн-пт 10:00-19:00),,,,http://blnc.space,,https://instagram.com/balance.space,,,,https://wa.me/77001803030,,,,https://t.me/balance_helpbot,,,43.252472,76.901907,https://2gis.com/firm/70000001090105450,branch
Kamila Kim Studio,,Фитнес-клубы; Обучение танцам,"улица Маметовой, 67",2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-11:00, 13:00-21:00; Вт: 16:00-21:00; Ср: 10:00-11:00, 13:00-21:00; Чт: 16:00-21:00; Пт: 10:00-11:00, 13:00-21:00; Сб: 10:00-14:30; Вс: 10:00-14:30 (по предварительной записи: сб, вс)",+05:00,5.0,64,87003334010,,,,,,https://instagram.com/kamilakim.studio,,,,https://wa.me/77003334010,,,,,,,43.266705,76.933394,https://2gis.com/firm/70000001038184126,branch
Energy Fit,фитнес-студия ,Фитнес-клубы,"проспект Достык, 308",2 этаж,050020,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-12:00,+05:00,5.0,10,87780026728,,,,,,https://instagram.com/energyfitkz,,,,https://wa.me/77780026728,,,,,,,43.212446,76.968124,https://2gis.com/firm/70000001087011246,branch
Republic,физкультурно-оздоровительный комплекс,Фитнес-клубы; Бассейны; Спортивные секции; Аквааэробика; Тренажёрные залы; Обучение танцам; Центры йоги,"микрорайон Жулдыз-1, 20/2",,050049,Жулдыз-1 м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.6,332,87073302020,87073312020,,,,,https://instagram.com/republic_fwc,,,,https://wa.me/77073312020,https://wa.me/77073302020,,,,,,43.361359,76.995061,https://2gis.com/firm/70000001060763903,branch
L-fitness,фитнес-клуб,Фитнес-клубы; Обучение танцам; Центры йоги; Спортивные секции,"улица Айманова, 155",3 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.4,39,87018756498,,,,,,https://instagram.com/l_fitness_almaty,,https://facebook.com/lfitnessalmaty,,https://wa.me/77018756498,,,,,,,43.231716,76.897952,https://2gis.com/firm/70000001028679083,branch
Brutal Gym,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"улица Кунаева, 25",цокольный этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 10:00-21:00,+05:00,5.0,12,87021004410,87272737591,87477826527,,,,https://instagram.com/brutal__gym,,,,https://wa.me/77021004410,https://wa.me/77477826527,,,,,,43.265749,76.948361,https://2gis.com/firm/70000001030534999,branch
Leader fitness club,фитнес-клуб,Фитнес-клубы; Спортивные секции,"улица Калдаякова, 17",2 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 05:00-22:00; Вт: 05:00-22:00; Ср: 05:00-22:00; Чт: 05:00-22:00; Пт: 05:00-22:00; Сб: 05:00-12:00,+05:00,3.2,15,87781772820,87273904504,,,,,https://instagram.com/leader_fitness_kz,,https://facebook.com/leaderfitnessclub,,https://wa.me/77781772820,,,,,,,43.262095,76.956854,https://2gis.com/firm/70000001026017756,branch
Asyl Gym,спортивный фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции; Спортивное питание,"улица Туркебаева, 92",3 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00,+05:00,4.2,63,87768488883 (руководитель),,,,,,https://instagram.com/asylgym.kz,,,,https://wa.me/77768488883,,,,,,,43.249885,76.878904,https://2gis.com/firm/9429940000818995,branch
V-FIT,фитнес-студия похудения,Фитнес-клубы,"проспект Назарбаева, 187","4, 1 этаж",050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00,+05:00,5.0,2,87051550239,,,,,,https://instagram.com/vfit_women_studio,,,,https://wa.me/77051550239,,,,,,,43.240834,76.948248,https://2gis.com/firm/70000001038287212,branch
Body fly,студия фитнеса и детских современных танцев,Фитнес-клубы; Обучение танцам,"улица Иштвана Коныра, 95",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00,+05:00,5.0,20,87071685016,,,,,,https://instagram.com/bodyfly_,,,,https://wa.me/77071685016,,,,,,,43.274357,76.992677,https://2gis.com/firm/70000001040326328,branch
Aqongym,фитнес-клуб,Фитнес-клубы; Спортивные секции; Тренажёрные залы,"микрорайон Жетысу-2, 11/1",цокольный этаж,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,239,87076265811,,,,,,https://instagram.com/aqongym_almaty,,,,https://wa.me/77076265811,,,,,,,43.225968,76.843799,https://2gis.com/firm/70000001080167600,branch
Power Pilates,тренажерный зал,Фитнес-клубы,"улица Айтиева, 140",2 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:30-21:00; Вт: 07:30-15:00; Ср: 07:30-21:00; Чт: 07:30-15:00; Пт: 07:30-21:00; Сб: 10:00-15:00,+05:00,,,87476798363,,,,,,https://instagram.com/powerpilates_almaty,,,,https://wa.me/77476798363,,,,,,,43.24818,76.906185,https://2gis.com/firm/70000001079666866,branch
Slava,студия функциональных тренировок,Фитнес-клубы; Спортивные секции; Тренажёрные залы,"улица Каныша Сатпаева, 30/2",2 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 05:45-21:00; Вт: 05:45-21:00; Ср: 05:45-21:00; Чт: 05:45-21:00; Пт: 05:45-21:00; Сб: 09:00-21:00,+05:00,5.0,51,87015888190,87089433676,,,,,https://instagram.com/slavasava.kz,,https://facebook.com/slavasava.kz,,https://wa.me/77015888190,https://wa.me/77089433676,,,,,,43.23442,76.922605,https://2gis.com/firm/70000001040462871,branch
Prostretching,женская фитнес-студия,Фитнес-клубы; Центры йоги; Спортивные секции,"5-й микрорайон, 30Б",2 офис; 2 этаж,050062,5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 07:30-15:00, 15:50-21:00; Вт: 07:30-14:00, 15:30-21:00; Ср: 07:30-15:00, 15:50-21:00; Чт: 07:30-14:00, 15:30-21:00; Пт: 07:30-15:00, 15:50-21:00; Сб: 10:00-14:00 (по предварительной записи)",+05:00,4.8,317,87059660090,,,,http://prostretching.com,,https://instagram.com/prostretching,,,,https://wa.me/77059660090,,,,https://t.me/prostretching_kz,,,43.231934,76.868072,https://2gis.com/firm/70000001024222872,branch
Pole dance & exotic Exo.Dom ,студия танца на пилоне,Фитнес-клубы; Обучение танцам; Спортивные секции; Творческие коллективы,"проспект Гагарина, 93а",302 офис; 3 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-18:00 (по предварительной записи),+05:00,5.0,91,87772317221 (администрация),87018182069 (старший тренер),,,http://poleexotic.kz,http://exodom.dance,https://instagram.com/exodom_dance,https://twitter.com/poledancealmaty,https://facebook.com/exodom.poledance,https://vk.com/public209387473,https://wa.me/77772317221,,,,https://t.me/+77772317221,,https://youtube.com/channel/UCA6JZPMjc_dXkPbPeUY7Cwg,43.239793,76.893745,https://2gis.com/firm/70000001022375441,branch
Energy Life,фитнес-студия,Фитнес-клубы; Обучение фитнес-инструкторов; Велнес-залы,"улица Жолдасбекова, 9а",,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-18:00,+05:00,5.0,5,87028397810 (единая справочная),,,,,,https://instagram.com/ems_energylife,,https://facebook.com/energylifekz,,https://wa.me/77028397810,https://wa.me/77028536071,,,,,,43.234908,76.955409,https://2gis.com/firm/70000001079870877,branch
Sport Life,центр йоги и растяжки,Фитнес-клубы; Центры йоги,"улица Карасай батыра, 88Б",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:00; Пт: 07:00-21:00,+05:00,,,87081119190,87076340923,,,,,https://instagram.com/sportlife_rehab,,,,https://wa.me/77076340923,https://wa.me/77081119190,,,,,,43.249971,76.927169,https://2gis.com/firm/70000001082673287,branch
Legion Fitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Турара Рыскулова, 103/3",3 этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-22:00,+05:00,4.1,121,87022028008 (единый номер: пн-вс 7:00-22:00),,,,,,https://instagram.com/legionfitkz,,https://facebook.com/legionfitkz,https://vk.com/legionfitkz,https://wa.me/77022028008,,,,,,,43.266705,76.869074,https://2gis.com/firm/70000001023930190,branch
Ратибор,спортивный клуб,Фитнес-клубы; Тренажёрные залы,"улица Шагабутдинова, 9а",цокольный этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 14:00-22:00; Вт: 15:00-21:00; Ср: 14:00-22:00; Чт: 15:00-21:00; Пт: 14:00-22:00; Сб: 14:00-20:00,+05:00,4.5,19,87078305111,87017368904,87085019331,,,,,,,,https://wa.me/77075014141,https://wa.me/77085019331,,,,,,43.260834,76.91903,https://2gis.com/firm/9429940001013618,branch
Isida,студия пилатеса,Фитнес-клубы,"проспект Достык, 341",1 этаж,050020,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00 (по предварительной записи),+05:00,,,87011002134,87477770446,,,http://isida-pilates.kz,,https://instagram.com/pilatesisida,,,,https://wa.me/77011002134,https://wa.me/77477770446,,,,,,43.207639,76.970162,https://2gis.com/firm/70000001069381741,branch
WORKOUT ,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы,"10-й микрорайон, 3Б",4 этаж,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.4,215,87472101032 (единый номер: пн-пт 7:00-00:00; сб-вс 10:00-22:00),,,,,,https://instagram.com/workoutgym.kz,,,,https://wa.me/77075570917,,,,,,,43.22077,76.86898,https://2gis.com/firm/9429940000893547,branch
Indigo Dance Studio,студия танца и аэробики,Фитнес-клубы; Обучение танцам,"улица Иссыкская, 56а",цокольный этаж,050002,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00,+05:00,3.9,8,87471033689,,,,,,https://instagram.com/ids_almaty,,,,https://wa.me/77471033689,,,,,,,43.272724,76.960431,https://2gis.com/firm/9429940001212890,branch
Invictus GO,,Фитнес-клубы; Тренажёрные залы,"микрорайон Аксай-5, 25",1 этаж,050063,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.2,326,87782270673,87780970478 (контакт-центр),,,http://invictusgo.kz,,https://instagram.com/invictusgo,,https://facebook.com/invictusgokz,,https://wa.me/77087179284,,,,,,https://youtube.com/@invictuskz,43.232559,76.831771,https://2gis.com/firm/70000001039854899,branch
Cordial Crossfit,спорт-центр,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"микрорайон Мамыр 7, 21",1 этаж,050036,Мамыр-7 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00,+05:00,4.1,168,87072159660,,,,,,https://instagram.com/cordial.fitness,,,,https://wa.me/77072159660,,,,,,,43.210344,76.840549,https://2gis.com/firm/70000001033460706,branch
Pyramid pride,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Жибек Жолы, 131",,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-22:00,+05:00,4.3,66,87755699511,,,,,,https://instagram.com/pyramid_pride,,,,,,,,,,,43.261207,76.930664,https://2gis.com/firm/70000001069475076,branch
BeTurbo,спортивно-оздоровительный клуб,Фитнес-клубы; Тренажёрные залы; Массажист,"улица Тимирязева, 28в",цокольный этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-21:00,+05:00,4.0,48,87273441325,87073896022,,,http://www.beturbo.kz,,https://instagram.com/beturbo,,,https://vk.com/beturbo,https://wa.me/77073896022,,,,,,,43.229807,76.932833,https://2gis.com/firm/9429940000785982,branch
O`jumping_by_olga,фитнес-клуб,Фитнес-клубы,"улица Васнецова, 27/92",3 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:30-10:30; Вт: 19:30-20:30; Ср: 09:30-10:30; Чт: 19:30-20:30; Пт: 09:30-10:30; Сб: 09:00-10:00,+05:00,5.0,23,87051512200,,,,,,https://instagram.com/o.jumping_by_olga,,,,https://wa.me/77051512200,,,,,,,43.249885,76.878904,https://2gis.com/firm/70000001063113868,branch
Belleza Club,"центр йоги, фитнеса и здоровья",Фитнес-клубы; Центры йоги; Обучение танцам; Эпиляция; Косметолог,"улица Рыскулбекова, 28/2",цокольный этаж; вход со двора,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 08:30-20:00; Вс: 08:30-20:00,+05:00,4.6,15,87058080089,,,,http://belleza-club.com,,https://instagram.com/belleza_club_kz,,,,https://wa.me/77058080089,,,,,,,43.2034,76.872262,https://2gis.com/firm/70000001039650895,branch
Bodyflex,студия фитнеса,Фитнес-клубы; Центры йоги,"улица Жандосова, 35/1",2 этаж,050071,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Пт: 07:00-20:00 (по предварительной записи),+05:00,5.0,51,87772646986,,,,,,https://instagram.com/bodyflex.almaty,,,,https://wa.me/77772646986,,,,https://t.me/+77772646986,,,43.22951,76.888117,https://2gis.com/firm/70000001030376909,branch
Фитнес-клуб,,Фитнес-клубы; БАДы; Диетические / соевые продукты; Обучение танцам,"бульвар Садовый, 1ж",1 офис; 2 этаж,050052,Мамыр м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 06:00-21:00; Вт: 06:00-21:00; Ср: 06:00-21:00; Чт: 06:00-21:00; Пт: 06:00-21:00; Сб: 06:00-21:00,+05:00,4.6,19,87476617641,,,,,,https://instagram.com/abzal_hero,,,,https://wa.me/77476617641,,,,,,,43.198208,76.839486,https://2gis.com/firm/70000001076593077,branch
Classis,спортивный комплекс,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивные секции; Массажист,"улица Наурызбай батыра, 7Б",3 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,3.2,67,87273441305,87273441306,87273441307,,,,https://instagram.com/classis_almaty,,https://facebook.com/classisalmaty,https://vk.com/ck_classis,https://wa.me/77005929232,,,,,,,43.267738,76.934274,https://2gis.com/firm/9429940000786387,branch
Prostretching best,женская фитнес-студия,Фитнес-клубы,"улица Желтоксан, 111а",29 офис; 4 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 07:30-15:00, 16:00-21:00; Вт: 07:30-15:00, 17:00-20:00; Ср: 07:30-15:00, 16:00-21:00; Чт: 07:30-15:00, 17:00-20:00; Пт: 07:30-15:00, 16:00-21:00; Сб: 10:00-12:00",+05:00,4.4,165,87003258885,,,,http://prostretching-best.tilda.ws/page30249104html,,https://instagram.com/prostretching__best,,,,https://wa.me/77003258885,,,,https://t.me/+77003258885,,,43.255424,76.93885,https://2gis.com/firm/70000001030255685,branch
